China 	1,415,045,928 	18.5 % 	9,388,211
2 	India 	1,354,051,854 	17.7 % 	2,973,190
3 	U.S. 	326,766,748 	4.3 % 	9,147,420
4 	Indonesia 	266,794,980 	3.5 % 	1,811,570
5 	Brazil 	210,867,954 	2.8 % 	8,358,140
6 	Pakistan 	200,813,818 	2.6 % 	770,880
7 	Nigeria 	195,875,237 	2.6 % 	910,770
8 	Bangladesh 	166,368,149 	2.2 % 	130,170
9 	Russia 	143,964,709 	1.9 % 	16,376,870
10 	Mexico 	130,759,074 	1.7 % 	1,943,950
11 	Japan 	127,185,332 	1.7 % 	364,555
12 	Ethiopia 	107,534,882 	1.4 % 	1,000,000
13 	Philippines 	106,512,074 	1.4 % 	298,170
14 	Egypt 	99,375,741 	1.3 % 	995,450
15 	Viet Nam 	96,491,146 	1.3 % 	310,070
16 	DR Congo 	84,004,989 	1.1 % 	2,267,050
17 	Germany 	82,293,457 	1.1 % 	348,560
18 	Iran 	82,011,735 	1.1 % 	1,628,550
19 	Turkey 	81,916,871 	1.1 % 	769,630
20 	Thailand 	69,183,173 	0.9 % 	510,890
21 	U.K. 	66,573,504 	0.9 % 	241,930
22 	France 	65,233,271 	0.9 % 	547,557
23 	Italy 	59,290,969 	0.8 % 	294,140
24 	Tanzania 	59,091,392 	0.8 % 	885,800
25 	South Africa 	57,398,421 	0.8 % 	1,213,090
26 	Myanmar 	53,855,735 	0.7 % 	653,290
27 	South Korea 	51,164,435 	0.7 % 	97,230
28 	Kenya 	50,950,879 	0.7 % 	569,140
29 	Colombia 	49,464,683 	0.6 % 	1,109,500
30 	Spain 	46,397,452 	0.6 % 	498,800
31 	Argentina 	44,688,864 	0.6 % 	2,736,690
32 	Uganda 	44,270,563 	0.6 % 	199,810
33 	Ukraine 	44,009,214 	0.6 % 	579,320
34 	Algeria 	42,008,054 	0.6 % 	2,381,740
35 	Sudan 	41,511,526 	0.5 % 	1,765,048
36 	Iraq 	39,339,753 	0.5 % 	434,320
37 	Poland 	38,104,832 	0.5 % 	306,230
38 	Canada 	36,953,765 	0.5 % 	9,093,510
39 	Afghanistan 	36,373,176 	0.5 % 	652,860
40 	Morocco 	36,191,805 	0.5 % 	446,300
41 	Saudi Arabia 	33,554,343 	0.4 % 	2,149,690
42 	Peru 	32,551,815 	0.4 % 	1,280,000
43 	Venezuela 	32,381,221 	0.4 % 	882,050
44 	Uzbekistan 	32,364,996 	0.4 % 	425,400
45 	Malaysia 	32,042,458 	0.4 % 	328,550
46 	Angola 	30,774,205 	0.4 % 	1,246,700
47 	Mozambique 	30,528,673 	0.4 % 	786,380
48 	Nepal 	29,624,035 	0.4 % 	143,350
49 	Ghana 	29,463,643 	0.4 % 	227,540
50 	Yemen 	28,915,284 	0.4 % 	527,970
51 	Madagascar 26,262,810 0.3 % 581,795
52 	North Korea 	25,610,672 	0.3 % 	120,410
53 	Côte d'Ivoire 	24,905,843 	0.3 % 	318,000
54 	Australia 	24,772,247 	0.3 % 	7,682,300
55 	Cameroon 	24,678,234 	0.3 % 	472,710
56 	Niger 	22,311,375 	0.3 % 	1,266,700
57 	Sri Lanka 	20,950,041 	0.3 % 	62,710
58 	Burkina Faso 	19,751,651 	0.3 % 	273,600
59 	Romania 	19,580,634 	0.3 % 	230,170
60 	Malawi 	19,164,728 	0.3 % 	94,280
61 	Mali 	19,107,706 	0.3 % 	1,220,190
62 	Kazakhstan 	18,403,860 	0.2 % 	2,699,700
63 	Syria 	18,284,407 	0.2 % 	183,630
64 	Chile 	18,197,209 	0.2 % 	743,532
65 	Zambia 	17,609,178 	0.2 % 	743,390
66 	Guatemala 	17,245,346 	0.2 % 	107,160
67 	Netherlands 	17,084,459 	0.2 % 	33,720
68 	Zimbabwe 	16,913,261 	0.2 % 	386,850
